Cust #,BillFirstName,BillLastName,BillEmail,BillCompany,BillAddress,BillAddress2,BillCity,BillState,BillZip,BillCountry,BillPhone,BillFax,ShipFirstName,ShipLastName,ShipEmail,ShipCompany,ShipAddress,ShipAddress2,ShipCity,ShipState,ShipZip,ShipCountry,ShipPhone,ShipFax,Custom Discount,Cust. Class,OptIn,TaxExempt,AccountNotes,Date Added,AdditionalEmails,Dob,ShipBirthDate,TaxFreeDrivingLicense,TaxFreeDrivingLicenseExpDate,TaxFreeLastName,TaxFreeFirstName,TaxFreeStateAbbrev,TabcNumber,SourceCodes,LoyaltyPointsAvailable,TotalCustomerValue,MemberAccountAvailableBalance
9366,Tony,Curtis,tonycurtis@op.net,,,,,,,UNITED STATES,345-666-6000,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/3/2021 4:27:33 PM,,1/1/1948 12:00:00 AM,,,,,,,,,0,,
9367,Tony,Curtis,Tonycurtis@opppp.net,,3456 Northeast 3rd Street North,,Bremerton,WA,98311,UNITED STATES,678-543-6666,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/3/2021 4:37:14 PM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9369,Freddy,Foot,freddythefoot@op.net,,,,,,,UNITED STATES,206-399-6100,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/3/2021 4:55:37 PM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9371,Wilma,Foot,footwilma@op.net,,,,,,,UNITED STATES,345-321-2333,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/3/2021 4:59:48 PM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9372,Wilma,Foot,leftfootwilma@op.net,,,,,,,UNITED STATES,,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/3/2021 5:05:50 PM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9373,Nat,Avaleratest,Nat@mail.com,,30808 aurora ave east,,bellevue,WA,789090,UNITED STATES,206-464-1151,,,,,,,,,,,UNITED STATES,,,,Consumer,No,Yes,,3/4/2021 12:45:15 PM,,1/1/1960 12:00:00 AM,,916YAY,,Pa,Na,WA,,,0,,
9379,Mia,Mondale,miamondale@op.net,,,,,,,UNITED STATES,345-666-6666,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/5/2021 8:01:35 AM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9384,Sandy,Floor,sandyfloor@op.net,,,,,,,UNITED STATES,234-555-4321,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/5/2021 3:44:32 PM,,1/1/1964 12:00:00 AM,,,,,,,,,0,,
9385,Francis,Farmer,francisfarmer@op.net,,,,,,,UNITED STATES,433-366-6666,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/5/2021 3:51:51 PM,,1/1/1957 12:00:00 AM,,,,,,,,,0,,
9386,Billy,Bud,billybud@op.net,,6789 Northwest Segerman Lane,,Silverdale,WA,98383,UNITED STATES,456-987-6655,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/5/2021 3:54:17 PM,,2/1/1960 12:00:00 AM,,,,,,,,,0,,
9387,Mark,More,marymore@op.net,,,,,,,UNITED STATES,456-789-9999,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/5/2021 3:59:30 PM,,1/14/1960 12:00:00 AM,,,,,,,,,0,,
9388,Dan,Daniels,dandaniels@op.net,,,,,,,UNITED STATES,456-777-7888,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/5/2021 4:10:04 PM,,1/1/1963 12:00:00 AM,,,,,,,,,0,,
9389,Howie,Le,howie@orderport.net,,,,,,,UNITED STATES,206-464-1151,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/5/2021 4:14:49 PM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9390,Howie,Test,howie1@orderport.net,,12826 Southeast 40th Lane,,Bellevue,WA,98006,UNITED STATES,206-464-1151,,Howie,Test,howie1@orderport.net,,12826 Southeast 40th Lane,,Bellevue,WA,98006,UNITED STATES,206-464-1151,,,Silver Club,Yes,No,,3/5/2021 4:27:22 PM,,1/1/1960 12:00:00 AM,1/1/1960 12:00:00 AM,,,,,,,,4796,1655.8,
9397,Test,Accoun,test@account.mhg,,Test Drive,,Chattanooga,TN,37421,UNITED STATES,555-555-5555,,Test,Accoun,test@account.mhg,,Test Drive,,Chattanooga,TN,37421,UNITED STATES,555-555-5555,,,Gold Club,No,No,,3/8/2021 6:27:54 AM,,1/1/1960 12:00:00 AM,1/1/1960 12:00:00 AM,,,,,,,,0,,
9399,Cade,Chambers,cadechambers@op.net,,2345 Rainier Avenue South,,Seattle,WA,98144,UNITED STATES,456-777-7777,,Cade,Chambers,cadechambers@op.net,,2345 Rainier Avenue South,,Seattle,WA,98144,UNITED STATES,456-777-7777,,,Silver Club,No,No,,3/8/2021 7:26:31 AM,,1/1/1964 12:00:00 AM,1/1/1964 12:00:00 AM,,,,,,,,0,,
9400,George,Rush,georgerush@op.net,,4563 33rd Avenue South,,Seattle,WA,98118,UNITED STATES,345-666-6777,,George,Rush,georgerush@op.net,,4563 33rd Avenue South,,Seattle,WA,98118,UNITED STATES,345-666-6777,,,Silver Club,Yes,No,,3/8/2021 7:28:56 AM,,8/1/1960 12:00:00 AM,8/1/1960 12:00:00 AM,,,,,,,,4796,1655.8,
9401,Belinda,Bell,belindabell@op.net,,8709 161st Avenue Northeast,,Redmond,WA,98052,UNITED STATES,666-664-4444,,Belinda,Bell,belindabell@op.net,,8709 161st Avenue Northeast,,Redmond,WA,98052,UNITED STATES,666-664-4444,,,Subscription Club,No,No,,3/8/2021 7:37:30 AM,,1/1/1960 12:00:00 AM,1/1/1960 12:00:00 AM,,,,,,,,0,,45
9402,Harry,Jones,harryjones@op.net,,7623 115th Pl NE,,Kirkland,WA,98033,UNITED STATES,456-777-7773,,Harry,Jones,harryjones@op.net,,7623 115th Pl NE,,Kirkland,WA,98033,UNITED STATES,456-777-7773,,,Silver Club,No,No,,3/8/2021 7:39:13 AM,,1/1/1965 12:00:00 AM,1/1/1965 12:00:00 AM,,,,,,,,0,,
9403,Nancy,Reagan,nancyreagan@op.net,,2678 Locker Road Southeast,,Port Orchard,WA,98366,UNITED STATES,345-666-7777,,Nancy,Reagan,nancyreagan@op.net,,2678 Locker Road Southeast,,Port Orchard,WA,98366,UNITED STATES,345-666-7777,,,Gold Club,Yes,No,,3/8/2021 7:44:55 AM,,1/1/1960 12:00:00 AM,1/1/1960 12:00:00 AM,,,,,,,,128,25.6,
9404,Daniel,Zollo,dz@op.po,,777 South Alameda Street,,Los Angeles,CA,90021,UNITED STATES,777-777-7777,,Daniel,Zollo,dz@op.po,,777 South Alameda Street,,Los Angeles,CA,90021,UNITED STATES,777-777-7777,,,Silver Club,Yes,No,,3/8/2021 8:22:31 AM,,10/26/1971 12:00:00 AM,10/26/1971 12:00:00 AM,,,,,,,,4796,1655.8,
9406,Tricia,Record,tr@po.op,,3334 North San Fernando Road,,Los Angeles,CA,90065,UNITED STATES,666-666-6777,,,,,,,,Bellevue,WA,98006,UNITED STATES,,,,Gold Club,Yes,No,,3/8/2021 11:19:39 AM,,8/1/1981 12:00:00 AM,,,,,,,,,1870,373.93,
9409,Sailor,Parrott,Sailorparrott@op.net,,,,,,,UNITED STATES,234-567-8765,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/8/2021 1:51:43 PM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9410,Nancy,Lewis,Nancylewis@op.net,,,,,,,UNITED STATES,206-399-6100,,Nancy,Lewis,nancylewia@op.net,,4563 33rd Avenue South,,Seattle,WA,98118,UNITED STATES,206-399-6100,,,Consumer,No,No,,3/8/2021 1:57:53 PM,,4/1/1965 12:00:00 AM,1/1/1959 12:00:00 AM,,,,,,,,0,,
9416,Martin,Tall,martintall@op.net,,9987 Pettit Place Northeast,,Bainbridge Island,WA,98110,UNITED STATES,206-399-6100,,Martin,Tall,martintall@op.net,,9987 Pettit Place Northeast,,Bainbridge Island,WA,98110,UNITED STATES,206-399-6100,,,Subscription Club,No,No,,3/9/2021 12:58:09 PM,,1/1/1969 12:00:00 AM,1/1/1969 12:00:00 AM,,,,,,,,0,107,45
9420,Martin,Need,martinneed@op.net,,12655 120th Avenue Northeast,,Kirkland,WA,98034,UNITED STATES,206-464-1151,,Martin,Need,martinneed@op.net,,12655 120th Avenue Northeast,,Kirkland,WA,98034,UNITED STATES,206-464-1151,,,Subscription Club,No,No,,3/10/2021 9:06:10 AM,,1/1/1960 12:00:00 AM,1/1/1960 12:00:00 AM,,,,,,,,0,37.2,45
9423,Laura,Arvizu,laura@lo.op,,24560 Silver Cloud Court,,Monterey,CA,93940,UNITED STATES,222-222-2222,,Laura,Arvizu,laura@lo.op,,24560 Silver Cloud Court,,Monterey,CA,93940,UNITED STATES,222-222-2222,,,Gold Club,Yes,No,"(Date: 2021-08-02 14:59:49.0352712, Author: Customer, Note: Reservation: 3:00 PM / Laura Arvizu / 5 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 08/05/2021&#x0D;
	Time: 3:00 PM&#x0D;
	Guests: 5&#x0D;
	Reservation #: 151208&#x0D;
	Order #: 3075&#x0D;
	Prepaid: $110.10&#x0D;
Contact Person&#x0D;
	Laura Arvizu&#x0D;
	222-222-2222&#x0D;
	laura@lo.op&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-23 11:29:07.3558288, Author: Customer, Note: Reservation: 1:00 PM / Laura Arvizu / 2 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/24/2021&#x0D;
	Time: 1:00 PM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 147119&#x0D;
	Order #: 3020&#x0D;
Contact Person&#x0D;
	Laura Arvizu&#x0D;
	222-222-2222&#x0D;
	laura@lo.op&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-22 14:49:12.3079586, Author: Customer, Note: Reservation: 1:00 PM / Laura Arvizu / 2 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/24/2021&#x0D;
	Time: 1:00 PM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 146757&#x0D;
	Order #: 3016&#x0D;
	Prepaid: $44.04&#x0D;
Contact Person&#x0D;
	Laura Arvizu&#x0D;
	222-222-2222&#x0D;
	laura@lo.op&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-22 12:09:13.1996569, Author: Customer, Note: Reservation: 4:00 PM / Laura Arvizu / 2 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/23/2021&#x0D;
	Time: 4:00 PM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 146608&#x0D;
	Order #: 3013&#x0D;
	Prepaid: $44.04&#x0D;
Contact Person&#x0D;
	Laura Arvizu&#x0D;
	222-222-2222&#x0D;
	laura@lo.op&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-22 11:42:09.1016878, Author: Customer, Note: Reservation: 5:00 PM / Laura Arvizu / 6 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/30/2021&#x0D;
	Time: 5:00 PM&#x0D;
	Guests: 6&#x0D;
	Reservation #: 146584&#x0D;
	Order #: 2982&#x0D;
Contact Person&#x0D;
	Laura Arvizu&#x0D;
	222-222-2222&#x0D;
	laura@lo.op&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-21 13:08:32.8794529, Author: Customer, Note: Reservation: 5:00 PM / Laura Arvizu / 4 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/30/2021&#x0D;
	Time: 5:00 PM&#x0D;
	Guests: 4&#x0D;
	Reservation #: 146152&#x0D;
	Order #: 2973&#x0D;
Contact Person&#x0D;
	Laura Arvizu&#x0D;
	222-222-2222&#x0D;
	laura@lo.op&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-21 10:57:41.7914367, Author: Customer, Note: Reservation: 4:00 PM / Laura Arvizu / 6 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/24/2021&#x0D;
	Time: 4:00 PM&#x0D;
	Guests: 6&#x0D;
	Reservation #: 146072&#x0D;
	Order #: 2967&#x0D;
Contact Person&#x0D;
	Laura Arvizu&#x0D;
	222-222-2222&#x0D;
	laura@lo.op&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-20 16:00:05.7373433, Author: Customer, Note: Reservation: 11:30 AM / Laura Arvizu / 6 people&#x0D;
Details&#x0D;
	Location: Bistro&#x0D;
	Date: 07/30/2021&#x0D;
	Time: 11:30 AM&#x0D;
	Guests: 6&#x0D;
	Reservation #: &#x0D;
Contact Person&#x0D;
	Laura Arvizu&#x0D;
	222-222-2222&#x0D;
	laura@lo.op&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-06-29 16:32:17.5370053, Author: LauraOP, Note: Event Note Example)",3/10/2021 9:58:37 AM,,7/9/1980 12:00:00 AM,,,,,,,,,46627,9325.5,
9426,Matt,Fun,matt@orderport.net,,,,,,,UNITED STATES,425-213-6645,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/10/2021 4:07:58 PM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9427,Mary,Lee,mary@orderport.net,,12826 SE 40th Ln,#200,Bellevue,WA,98006,UNITED STATES,206-464-1151,,Mary,Lee,mary@orderport.net,,12826 SE 40th Ln,#200,Bellevue,WA,98006,UNITED STATES,206-464-1151,,,Consumer,No,No,,3/11/2021 9:26:00 AM,,1/1/1996 12:00:00 AM,1/1/1996 12:00:00 AM,,,,,,,,0,40,
9430,MATTHEW,PAYNE,mattllll@orderport.net,,gggggg,,ggg1,WA,98006,UNITED STATES,454-544-3535,,MATTHEW,PAYNE,mattllll@orderport.net,,gggggg,,ggg1,WA,98006,UNITED STATES,454-544-3535,,,Gold Club,No,No,,3/12/2021 11:33:14 AM,,1/1/1960 12:00:00 AM,1/1/1960 12:00:00 AM,,,,,,,,1668,333.6,
9431,You,Youtoo,Youtoo@op.net,,,,,,,UNITED STATES,,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/12/2021 11:34:04 AM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9432,MATTHEW,PAYNE,Hhhhhhhh@orderport.net,,vvgcch,,afoijc,WA,98006,UNITED STATES,555-555-5555,,MATTHEW,PAYNE,Hhhhhhhh@orderport.net,,ggvvyvv,,gububub,WA,98006,UNITED STATES,555-555-5555,,,Gold Club,No,No,,3/12/2021 11:36:35 AM,,12/13/1960 12:00:00 AM,12/13/1960 12:00:00 AM,,,,,,,,0,,
9435,Bill,Bennett,billbennett@op.net,,2765 Northwest 49th Avenue,,Ocala,FL,34482,UNITED STATES,456-778-8888,,Bill,Bennett,billbennett@op.net,,2765 Northwest 49th Avenue,,Ocala,FL,34482,UNITED STATES,456-778-8888,,,Subscription Club,No,No,,3/12/2021 11:54:40 AM,,1/1/1965 12:00:00 AM,1/1/1965 12:00:00 AM,,,,,,,,0,,45
9436,Fred,Smith,fredsmith@op.net,,5678 West Irlo Bronson Memorial Highway,,Kissimmee,FL,34746,UNITED STATES,345-321-4444,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/12/2021 12:01:54 PM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9439,Paul,Smith,paul@op.po,,4567 West 120th Street,,Hawthorne,CA,90250,UNITED STATES,334-567-7890,,Paul,Smith,paul@op.po,,4567 West 120th Street,,Hawthorne,CA,90250,UNITED STATES,334-567-7890,,,Gold Club,Yes,No,,3/16/2021 12:17:29 PM,,1/1/1960 12:00:00 AM,1/1/1960 12:00:00 AM,,,,,,,,14516,3151.2,
9443,RICK,BELISLE,Rick@yahooooo.com,,,,,,,UNITED STATES,234-555-6789,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/16/2021 6:27:36 PM,,1/2/1959 12:00:00 AM,,,,,,,,,0,,
9450,Mindy,Mason,Mindymason@op.net,,7890 81st Pl SE,,Mercer Island,WA,98040,UNITED STATES,453-232-3111,,Mindy,Mason,Mindymason@op.net,,7890 81st Pl SE,,Mercer Island,WA,98040,UNITED STATES,342-543-2121,,,Subscription Club,No,No,,3/19/2021 4:03:01 PM,,1/1/1960 12:00:00 AM,1/1/1953 12:00:00 AM,,,,,,,,0,89.49,45
9477,Anna,Parrott,annaparrott@op.net,,45672 Duquesne Street,,Indio,CA,92201,UNITED STATES,678-998-7666,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/27/2021 11:53:33 AM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9478,Anna,Parrott,annaparrott2@op.net,http://www.orderport.net,"12826 SE 40th Lane, Suite 200",,Bellevue,WA,98006,UNITED STATES,206-399-6100,,Anna,Parrott,annaparrott2@op.net,http://www.orderport.net,"12826 SE 40th Lane, Suite 200",,Bellevue,WA,98006,UNITED STATES,206-399-6100,,,Silver Club,Yes,No,,3/27/2021 12:05:39 PM,,12/13/1983 12:00:00 AM,12/13/1983 12:00:00 AM,,,,,,,,4796,1391.25,
9479,Titi,Orderport,test@test.com,devop,123 Main Street,,New York,NY,12345,UNITED STATES,111-111-1111,,Titi,Orderport,test@test.com,devop,123 Main Street,,New York,NY,12345,UNITED STATES,111-111-1111,,,Consumer,Yes,No,,3/28/2021 11:46:34 PM,,1/1/1990 12:00:00 AM,1/1/1990 12:00:00 AM,,,,,,,,0,336,
9480,Laura,Arvizu,laura.a@orderport.net,OrderPort Winery Solutions,12826 SE 40th LN,Suite 200,Bellevue,WA,98006,UNITED STATES,180-583-5745,,Laura,Arvizu,laura.a@orderport.net,OrderPort Winery Solutions,12826 SE 40th LN,Suite 200,Bellevue,WA,98006,UNITED STATES,180-583-5745,,,Subscription Club,Yes,No,"(Date: 2021-03-29 10:07:58.7275683, Author: Customer, Note: Reservation: 2:30 Laura Arvizu 4 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Tasting Room&#x0D;
	Date: 04/01/2021&#x0D;
	Time: 2:30 PM&#x0D;
	Guests: 4&#x0D;
	Reservation #: 89254&#x0D;
	Order #: 1911&#x0D;
Contact Person&#x0D;
	Laura Arvizu&#x0D;
	18058357457&#x0D;
	laura.a@orderport.net&#x0D;
Notes: &#x0D;
	Celebrating Birthday)",3/29/2021 10:01:15 AM,,5/28/1995 12:00:00 AM,5/28/1995 12:00:00 AM,,,,,,,Friend;,0,421,270
9482,Natalie,Payne,natalieepaynee@gmall.com,,3800 Aurora AVE N,,seattle,WA,98103,UNITED STATES,206-464-1151,,Natalie,Payne,natalieepaynee@gmall.com,,3800 Aurora AVE N,,seattle,WA,98103,UNITED STATES,206-464-1151,,,Consumer,Yes,No,,3/29/2021 5:33:48 PM,,7/4/1997 12:00:00 AM,7/4/1997 12:00:00 AM,,,,,,,,0,,
9483,Natalie,Payne,natalieepaynee@gmail.com,,,,,,,UNITED STATES,2064641151,,Natalie,Payne,natalieepaynee@gmail.com,,,,,,,UNITED STATES,2064641151,,,Consumer,No,No,,3/29/2021 5:39:04 PM,,,,,,,,,,,0,,
9493,Harry,Hammer,Harryhammer@op.net,,34560 Bob Hope Drive,,Rancho Mirage,CA,92270,UNITED STATES,206-399-6100,,Harry,Hammer,Harryhammer@op.net,,34560 Bob Hope Drive,,Rancho Mirage,CA,92270,UNITED STATES,206-399-6100,,,Silver Club,Yes,No,,3/31/2021 4:18:51 PM,,1/1/1960 12:00:00 AM,1/1/1960 12:00:00 AM,,,,,,,,4796,1428.85,
9494,RICK,BELISLE,Rickbel@op.net,,,,,,,UNITED STATES,,,,,,,,,Bellevue,WA,98006,UNITED STATES,,,,Consumer,No,No,,3/31/2021 4:25:45 PM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9495,RICK,BELISLE,Rtyu@op.wine,,,,,,,UNITED STATES,,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/31/2021 4:32:28 PM,,1/2/1959 12:00:00 AM,,,,,,,,,0,,
9496,Nanny,Jones,nannyjones@op.net,,56780 Jack Nicklaus Boulevard,,La Quinta,CA,92253,UNITED STATES,456-778-8888,,,,,,,,,,,UNITED STATES,,,,Gold Club,Yes,No,,3/31/2021 4:35:48 PM,,11/30/1960 12:00:00 AM,,,,,,,,,664,223.8,
9497,Mandy,Mopit,mandymopit@op.net,,2354 Dunlop Court,,Colton,CA,92324,UNITED STATES,567-890-7777,,Mandy,Mopit,mandymopit@op.net,,2354 Dunlop Court,,Colton,CA,92324,UNITED STATES,567-890-7777,,,Silver Club,Yes,No,,3/31/2021 5:43:23 PM,,11/7/1953 12:00:00 AM,11/7/1953 12:00:00 AM,,,,,,,,4796,1428.85,
9498,Franny,Flag,frannyflag@op.net,,45682 Towne Street,,Indio,CA,92201,UNITED STATES,543-678-9999,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,3/31/2021 6:26:41 PM,,11/1/1963 12:00:00 AM,,,,,,,,,0,10,
9499,Mihai,Scutariu,mihai.sc@orderport.net,,123 main st,,Bellevue,WA,98006,UNITED STATES,211-111-1111,,Mihai,Scutariu,mihai.sc@orderport.net,,123 main st,,Bellevue,WA,98006,UNITED STATES,211-111-1111,,,Consumer,Yes,No,"(Date: 2021-07-23 06:11:07.4372894, Author: Customer, Note: Reservation: 2:00 PM / Mihai Scutariu / 2 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/24/2021&#x0D;
	Time: 2:00 PM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 146980&#x0D;
	Order #: 3019&#x0D;
	Prepaid: $44.04&#x0D;
Contact Person&#x0D;
	Mihai Scutariu&#x0D;
	111-111-1111&#x0D;
	mihai.sc@orderport.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-23 06:09:50.9932282, Author: Customer, Note: Reservation: 11:00 AM / Mihai Scutariu / 2 people&#x0D;
Details&#x0D;
	Location: Bistro&#x0D;
	Date: 07/24/2021&#x0D;
	Time: 11:00 AM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 146979&#x0D;
Contact Person&#x0D;
	Mihai Scutariu&#x0D;
	111-111-1111&#x0D;
	mihai.sc@orderport.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-22 07:57:11.9721281, Author: Customer, Note: Reservation: 5:00 PM / Mihai Scutariu / 4 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/24/2021&#x0D;
	Time: 5:00 PM&#x0D;
	Guests: 4&#x0D;
	Reservation #: 146431&#x0D;
	Order #: 2976&#x0D;
	Prepaid: $88.08&#x0D;
Contact Person&#x0D;
	Mihai Scutariu&#x0D;
	111-111-1111&#x0D;
	mihai.sc@orderport.net&#x0D;
Notes: &#x0D;
	test notes)    (Date: 2021-07-22 07:55:46.3037874, Author: Customer, Note: Reservation: 2:30 PM / Mihai Scutariu / 2 people&#x0D;
Details&#x0D;
	Location: Bistro&#x0D;
	Date: 07/24/2021&#x0D;
	Time: 2:30 PM&#x0D;
	Guests: 2&#x0D;
	Reservation #: &#x0D;
Contact Person&#x0D;
	Mihai Scutariu&#x0D;
	111-111-1111&#x0D;
	mihai.sc@orderport.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-20 06:27:02.3166410, Author: Customer, Note: Reservation: 10:00 AM / Mihai Scutariu / 2 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Seattle Tasting Room&#x0D;
	Date: 07/23/2021&#x0D;
	Time: 10:00 AM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 145629&#x0D;
	Order #: 2954&#x0D;
Contact Person&#x0D;
	Mihai Scutariu&#x0D;
	111-111-1111&#x0D;
	mihai.sc@orderport.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-20 05:34:46.4591138, Author: Customer, Note: Reservation: 8:00 AM / Mihai Scutariu / 1 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Seattle Tasting Room&#x0D;
	Date: 07/22/2021&#x0D;
	Time: 8:00 AM&#x0D;
	Guests: 1&#x0D;
	Reservation #: 145623&#x0D;
	Order #: 2953&#x0D;
Contact Person&#x0D;
	Mihai Scutariu&#x0D;
	211-111-1111&#x0D;
	mihai.sc@orderport.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-20 05:00:30.6436450, Author: Customer, Note: Reservation: 11:30 AM / Mihai Scutariu / 2 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Seattle Tasting Room&#x0D;
	Date: 07/23/2021&#x0D;
	Time: 11:30 AM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 145619&#x0D;
	Order #: 2952&#x0D;
Contact Person&#x0D;
	Mihai Scutariu&#x0D;
	111-111-1111&#x0D;
	mihai.sc@orderport.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-20 04:51:33.9977694, Author: Customer, Note: Reservation: 11:15 AM / Mihai Scutariu / 2 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/24/2021&#x0D;
	Time: 11:15 AM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 145617&#x0D;
	Order #: 2951&#x0D;
Contact Person&#x0D;
	Mihai Scutariu&#x0D;
	111-111-1111&#x0D;
	mihai.sc@orderport.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-20 03:27:21.5679838, Author: Customer, Note: Reservation: 12:00 PM / Mihai Scutariu / 2 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/24/2021&#x0D;
	Time: 12:00 PM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 145609&#x0D;
	Order #: 2949&#x0D;
Contact Person&#x0D;
	Mihai Scutariu&#x0D;
	111-111-1111&#x0D;
	mihai.sc@orderport.net&#x0D;
Notes: &#x0D;
	n/a)",4/1/2021 2:13:53 AM,,3/11/1989 12:00:00 AM,3/11/1989 12:00:00 AM,,,,,,,,0,696,
9501,Laura,A,laura@op.po,,,,,,,UNITED STATES,,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,4/1/2021 12:18:10 PM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9506,Billy,Bob,billybob@op.net,,67890 California 111,,Cathedral City,CA,92234,UNITED STATES,456-777-7888,,,,,,,,Bellevue,WA,98006,UNITED STATES,,,,Subscription Club,No,No,,4/4/2021 5:43:10 PM,,5/1/1960 12:00:00 AM,,,,,,,,,0,,45
9509,Randi,Morrow,Randimorrow@op.net,,43430 Monroe Street,,Indio,CA,92201,UNITED STATES,234-555-5666,,Randi,Morrow,Randimorrow@op.net,,43430 Monroe Street,,Indio,CA,92201,UNITED STATES,234-555-5666,,,Consumer,No,No,,4/5/2021 9:52:19 AM,,1/1/1960 12:00:00 AM,1/1/1960 12:00:00 AM,,,,,,,,0,109,
9514,Bill,Vine,billvine@op.net,,,,,,98407,UNITED STATES,,,,,,,,,,,,UNITED STATES,,,,Consumer,No,No,,4/5/2021 11:49:29 AM,,1/1/1960 12:00:00 AM,,,,,,,,,0,,
9518,Rick,Terrace,rickterrace@op.net,,56785 Mountain View,,La Quinta,CA,92253,UNITED STATES,456-777-7888,,,,,,,,Bellevue,WA,98006,UNITED STATES,,,,Consumer,No,No,,4/5/2021 3:07:07 PM,,1/1/1960 12:00:00 AM,,,,,,,,,0,83.3,
